transaction_id,user_id,merchant_id,transaction_amount,transaction_status,transaction_date,bank_name
T329974,U018,M017,24726.44,Success,2025-07-08 17:19:49.078646,ICICI
T149405,U015,M005,31409.56,Failed,2025-07-12 05:54:32.078978,HDFC
T813536,U055,M020,3270.03,Success,2025-06-02 09:28:03.079317,ICICI
T724834,U060,M017,12645.56,Success,2025-06-19 01:20:24.079650,ICICI
T112038,U088,M024,5816.13,Success,2025-07-21 05:56:12.079979,HDFC
T663054,U097,M009,38453.08,Success,2025-05-29 08:53:47.080320,ICICI
T216970,U038,M014,7992.07,Success,2025-04-26 15:47:32.080674,SBI
T857168,U093,M009,48597.22,Success,2025-07-09 07:43:51.081011,Axis
T287330,U065,M030,5409.9,Success,2025-06-26 01:17:07.081468,ICICI
T412942,U082,M017,30487.61,Success,2025-05-11 04:22:17.081821,ICICI
T492077,U098,M006,27015.01,Success,2025-07-10 22:33:41.082155,HDFC
T656116,U001,M020,16275.39,Success,2025-04-28 05:36:51.082487,Axis
T217301,U047,M029,49267.54,Success,2025-07-13 16:09:06.082817,Axis
T422451,U031,M002,12119.49,Success,2025-06-20 10:16:03.083146,ICICI
T182582,U011,M024,24350.92,Success,2025-05-03 01:30:25.083475,HDFC
T897549,U069,M025,6375.45,Failed,2025-06-29 09:33:40.083852,HDFC
T598369,U071,M006,13326.33,Success,2025-07-20 01:08:47.084195,HDFC
T736059,U055,M007,46452.78,Failed,2025-07-08 16:07:32.084544,ICICI
T865388,U089,M007,35676.15,Success,2025-06-04 01:56:58.084878,HDFC
T804314,U084,M012,21961.19,Success,2025-06-15 14:16:09.085261,SBI
T573417,U016,M008,11312.4,Success,2025-05-29 04:01:36.085651,Kotak
T122056,U076,M018,11582.73,Success,2025-05-17 17:22:26.086010,SBI
T107540,U010,M023,31592.04,Success,2025-05-18 13:42:11.086346,ICICI
T170674,U005,M028,16588.38,Success,2025-06-15 06:18:03.086708,HDFC
T349565,U036,M022,24322.18,Success,2025-06-17 16:44:11.087089,ICICI
T238739,U093,M030,44130.92,Success,2025-06-21 06:54:02.087428,Axis
T595631,U032,M026,23701.35,Success,2025-06-04 20:44:55.087759,Kotak
T299659,U013,M004,32983.24,Success,2025-05-30 17:48:12.088089,Kotak
T544154,U053,M015,43205.45,Failed,2025-05-01 14:27:29.088418,HDFC
T806073,U084,M021,5011.05,Success,2025-06-04 10:24:21.088785,SBI
T863587,U044,M026,43097.46,Success,2025-05-20 11:38:29.089162,Axis
T300896,U025,M018,22485.82,Success,2025-06-06 07:17:08.089508,HDFC
T292401,U036,M015,12565.34,Success,2025-07-24 23:35:42.089839,ICICI
T179046,U057,M026,43081.32,Failed,2025-06-18 18:34:52.090173,Axis
T202664,U007,M021,49964.2,Success,2025-07-16 12:18:56.090502,ICICI
T115474,U012,M030,37702.92,Success,2025-05-19 07:02:03.090831,ICICI
T274389,U053,M016,24119.79,Success,2025-07-19 07:00:42.091157,HDFC
T520521,U008,M006,19010.76,Failed,2025-06-03 05:58:44.091484,Axis
T378085,U059,M010,21208.07,Success,2025-07-06 06:25:51.091813,HDFC
T921414,U072,M022,35948.57,Success,2025-05-11 08:55:58.092140,HDFC
T299122,U038,M007,48438.6,Success,2025-06-21 13:49:05.092490,SBI
T871476,U070,M002,37423.98,Success,2025-05-01 21:26:06.092825,Axis
T152578,U075,M016,25192.23,Success,2025-07-18 03:12:41.093223,Axis
T656926,U021,M002,48042.87,Success,2025-05-04 02:54:12.093576,SBI
T992697,U024,M003,29792.25,Success,2025-06-30 21:35:22.093952,ICICI
T346629,U052,M004,47085.65,Success,2025-06-20 15:40:12.094365,HDFC
T358175,U075,M020,2083.11,Failed,2025-05-04 07:15:55.094709,Axis
T539589,U085,M019,28304.82,Success,2025-05-27 01:25:31.095041,SBI
T373432,U027,M022,35837.97,Success,2025-05-19 12:24:31.095369,Kotak
T378517,U051,M005,33617.34,Success,2025-05-25 11:16:26.095698,HDFC
T579434,U041,M030,37618.04,Success,2025-05-03 09:16:04.096036,HDFC
T109767,U059,M020,49922.88,Success,2025-05-06 01:12:12.096368,HDFC
T176819,U069,M007,25343.65,Success,2025-05-09 04:52:35.096728,HDFC
T465962,U009,M029,12289.79,Success,2025-05-24 00:17:56.097097,ICICI
T265409,U057,M027,27206.58,Success,2025-05-25 17:08:46.097450,Axis
T741390,U084,M017,490.37,Success,2025-07-14 16:13:15.097784,SBI
T681542,U039,M030,33203.1,Success,2025-07-20 14:24:51.098114,SBI
T240814,U034,M004,44496.66,Success,2025-07-07 10:11:11.098442,Kotak
T680097,U020,M009,14159.64,Success,2025-05-16 19:01:58.098769,SBI
T852470,U044,M007,34406.11,Success,2025-07-18 03:39:40.099097,Axis
T376807,U065,M016,12630.95,Success,2025-07-23 12:23:39.099422,ICICI
T987204,U007,M003,31750.79,Success,2025-07-15 20:45:05.099759,ICICI
T390120,U006,M001,16744.47,Success,2025-05-09 01:03:43.100164,Kotak
T768061,U034,M006,37087.42,Success,2025-06-18 21:44:19.100521,Kotak
T839945,U055,M018,582.52,Success,2025-05-03 15:33:40.100858,ICICI
T824586,U020,M018,1897.8,Success,2025-06-01 04:33:57.101243,SBI
T710805,U071,M005,21546.36,Success,2025-04-30 09:41:54.101588,HDFC
T423232,U047,M029,46661.09,Success,2025-07-18 21:48:45.101920,Axis
T141832,U046,M007,34135.13,Success,2025-06-30 02:17:51.102252,Axis
T207786,U046,M025,28038.19,Success,2025-07-20 06:27:31.102583,Axis
T526117,U080,M024,7812.21,Success,2025-05-19 07:52:05.102913,HDFC
T270395,U023,M029,20673.49,Success,2025-05-13 18:10:15.103252,Kotak
T872343,U043,M026,46547.71,Success,2025-07-13 05:34:25.103592,Axis
T802448,U095,M026,12483.55,Success,2025-05-11 19:11:17.103925,Axis
T925622,U090,M004,19188.83,Success,2025-04-30 02:27:54.104255,ICICI
T593554,U029,M007,40847.67,Success,2025-06-10 00:48:52.104605,Kotak
T466643,U040,M027,39787.74,Failed,2025-05-18 10:33:58.104997,Kotak
T333752,U004,M022,9737.18,Success,2025-05-28 05:08:09.105392,SBI
T392136,U009,M025,14028.34,Success,2025-06-27 14:59:27.105729,ICICI
T634150,U052,M022,49059.37,Success,2025-06-17 09:42:12.106060,HDFC
T447235,U004,M004,43864.22,Success,2025-05-21 16:54:20.106391,SBI
T287241,U075,M009,2009.03,Success,2025-06-23 06:20:31.106717,Axis
T555673,U045,M024,39342.77,Success,2025-06-07 17:06:06.107045,Axis
T735656,U066,M004,19321.25,Success,2025-06-21 07:46:40.107384,SBI
T299312,U033,M002,35468.39,Success,2025-04-26 12:10:16.107716,Axis
T645175,U069,M022,35999.56,Success,2025-07-07 09:05:57.108114,HDFC
T872840,U086,M007,18274.65,Failed,2025-05-03 03:16:51.108479,Axis
T796503,U043,M020,15764.39,Success,2025-07-17 16:14:56.108820,Axis
T230679,U093,M029,15086.08,Success,2025-05-26 08:54:56.109195,Axis
T799287,U053,M011,20179.78,Success,2025-05-25 01:09:24.109540,HDFC
T681343,U017,M007,21080.27,Success,2025-06-02 03:42:10.109871,SBI
T810219,U096,M029,8783.96,Success,2025-06-20 14:20:29.110209,ICICI
T415568,U052,M018,41702.89,Success,2025-05-25 20:18:36.110542,HDFC
T400850,U027,M014,39309.37,Success,2025-06-24 05:51:15.110881,Kotak
T786508,U042,M015,22145.12,Failed,2025-06-30 22:33:21.111280,Kotak
T324082,U066,M016,39707.4,Success,2025-07-12 15:06:08.111627,SBI
T871711,U022,M022,4331.3,Success,2025-06-15 09:19:13.112003,Axis
T796101,U082,M020,16825.89,Success,2025-07-14 19:17:42.112341,ICICI
T887625,U031,M022,15589.93,Success,2025-07-13 15:39:28.112691,ICICI
T308802,U019,M001,2406.06,Success,2025-06-11 11:22:41.113023,HDFC
T740967,U099,M003,22825.27,Success,2025-07-21 09:04:44.113404,Kotak
T760356,U074,M007,35945.46,Success,2025-06-02 14:57:53.113740,Axis
T618392,U052,M008,7463.81,Success,2025-07-02 02:30:23.114072,HDFC
T105814,U097,M028,38525.3,Success,2025-05-06 16:35:48.114405,ICICI
T916232,U055,M008,8876.75,Success,2025-07-02 21:49:20.114746,ICICI
T643118,U060,M002,27914.55,Success,2025-07-24 10:05:25.115087,ICICI
T989545,U016,M015,6753.62,Failed,2025-06-10 10:55:38.115425,Kotak
T800005,U068,M018,29813.07,Success,2025-07-08 16:05:25.115767,ICICI
T564071,U079,M027,35991.77,Success,2025-06-14 08:26:55.116100,Kotak
T547470,U071,M015,44870.68,Success,2025-07-07 13:04:22.116466,HDFC
T597732,U058,M009,37613.66,Success,2025-07-16 21:15:09.116808,Kotak
T768636,U036,M025,38905.97,Failed,2025-06-12 09:25:23.117178,ICICI
T757193,U031,M009,22049.64,Success,2025-07-04 14:54:37.117522,ICICI
T399607,U031,M009,16858.79,Success,2025-07-22 01:08:01.117858,ICICI
T666390,U011,M005,7626.45,Success,2025-06-02 12:46:01.118189,HDFC
T827659,U020,M023,10776.25,Success,2025-06-05 14:56:33.118518,SBI
T527398,U043,M018,23349.62,Success,2025-05-02 09:19:11.118859,Axis
T316881,U054,M013,45251.44,Success,2025-06-22 01:14:02.119205,HDFC
T829308,U003,M028,44044.77,Success,2025-06-21 05:41:09.119538,Axis
T498858,U062,M001,47142.81,Success,2025-05-25 08:02:53.119879,HDFC
T890075,U050,M028,44592.91,Success,2025-07-16 11:37:09.120211,Axis
T539375,U069,M024,36758.24,Success,2025-07-13 00:03:29.120560,HDFC
T732556,U029,M016,11049.14,Success,2025-06-07 15:48:06.120896,Kotak
T609232,U004,M013,16872.86,Success,2025-07-01 06:44:44.121280,SBI
T936912,U052,M024,8335.73,Success,2025-06-10 17:19:41.121621,HDFC
T233827,U080,M018,1445.63,Failed,2025-06-03 14:21:50.121952,HDFC
T720644,U073,M022,1452.39,Success,2025-06-27 17:56:43.122340,SBI
T549433,U018,M028,23138.75,Success,2025-05-01 05:24:07.122698,ICICI
T372793,U049,M011,10661.85,Success,2025-05-28 01:50:10.123035,SBI
T453894,U098,M029,19018.4,Success,2025-07-08 08:32:24.123380,HDFC
T972335,U054,M009,41762.05,Success,2025-06-11 00:07:28.123711,HDFC
T120324,U096,M018,2699.07,Success,2025-05-30 07:41:49.124040,ICICI
T335113,U084,M003,39083.53,Success,2025-06-28 14:55:43.124369,SBI
T142213,U097,M001,47485.63,Success,2025-05-15 16:46:27.124723,ICICI
T979995,U003,M020,7703.88,Failed,2025-05-08 14:20:47.125083,Axis
T596564,U086,M004,28242.08,Success,2025-05-17 12:07:28.125486,Axis
T587623,U090,M009,38368.22,Success,2025-05-12 15:12:26.125854,ICICI
T735324,U078,M024,35946.03,Success,2025-07-10 20:37:00.126265,HDFC
T959099,U021,M010,5494.13,Failed,2025-04-28 20:03:55.126607,SBI
T427110,U074,M022,45410.5,Success,2025-06-01 18:45:31.126949,Axis
T515922,U092,M007,3892.22,Success,2025-07-02 09:28:42.127284,Kotak
T970917,U081,M008,5184.88,Success,2025-07-10 08:14:28.127613,HDFC
T416232,U088,M020,40295.85,Success,2025-07-12 15:34:26.127944,HDFC
T693423,U006,M012,26683.99,Failed,2025-06-29 13:41:12.128273,Kotak
T488571,U009,M017,32412.41,Failed,2025-04-27 13:42:42.128624,ICICI
T990844,U054,M027,24561.07,Success,2025-06-07 10:24:46.128959,HDFC
T479781,U082,M029,41452.49,Success,2025-07-04 00:22:43.129342,ICICI
T260422,U056,M006,36716.39,Success,2025-06-28 11:54:21.129688,HDFC
T383201,U079,M026,45988.92,Success,2025-07-10 13:16:32.130024,Kotak
T606983,U060,M014,41304.16,Success,2025-06-22 20:47:46.130363,ICICI
T381433,U042,M028,12350.21,Success,2025-05-04 18:10:10.130703,Kotak
T392477,U058,M008,37548.77,Success,2025-06-20 16:04:34.131034,Kotak
T739979,U086,M013,16886.19,Success,2025-06-13 08:02:52.131364,Axis
T992288,U042,M006,24428.74,Success,2025-05-30 19:01:56.131695,Kotak
T936587,U034,M011,14054.96,Success,2025-06-23 05:22:19.132027,Kotak
T835244,U036,M018,606.54,Success,2025-05-14 21:25:26.132358,ICICI
T189771,U031,M024,20380.76,Success,2025-06-19 05:53:04.132708,ICICI
T894993,U031,M023,23857.05,Success,2025-07-04 10:56:35.133041,ICICI
T614663,U058,M026,960.44,Success,2025-05-24 21:50:55.133418,Kotak
T332360,U052,M023,12240.93,Success,2025-06-29 19:22:09.133753,HDFC
T709805,U048,M016,27718.3,Success,2025-05-29 17:14:35.134086,ICICI
T546173,U096,M018,16606.49,Success,2025-07-03 14:00:03.134428,ICICI
T575786,U035,M010,12645.04,Success,2025-05-08 01:22:43.134761,ICICI
T856321,U025,M011,6065.78,Success,2025-06-17 08:53:01.135093,HDFC
T899213,U089,M006,9657.89,Success,2025-07-07 01:18:13.135425,HDFC
T607719,U036,M024,29520.39,Success,2025-07-09 03:38:35.135753,ICICI
T650121,U077,M010,49027.48,Success,2025-07-16 04:23:41.136095,ICICI
T303547,U038,M008,18107.97,Success,2025-05-25 16:33:53.136498,SBI
T114835,U091,M018,6416.49,Success,2025-04-30 18:17:22.136851,SBI
T157174,U071,M010,34901.13,Success,2025-05-08 14:28:58.137233,HDFC
T768854,U097,M016,5219.12,Success,2025-04-27 12:48:38.137595,ICICI
T701949,U037,M016,23987.84,Failed,2025-05-29 10:07:57.137933,Axis
T293319,U007,M009,47059.07,Success,2025-06-11 17:25:11.138265,ICICI
T219629,U009,M013,24638.15,Success,2025-06-21 08:47:13.138606,ICICI
T760021,U088,M002,7671.18,Failed,2025-07-14 02:19:41.138940,HDFC
T690180,U039,M003,49696.51,Success,2025-05-07 20:14:32.139272,SBI
T685181,U098,M014,30355.25,Success,2025-07-12 02:47:23.139620,HDFC
T748458,U029,M025,26176.37,Success,2025-06-09 02:00:18.139951,Kotak
T564226,U039,M028,29467.4,Success,2025-06-06 23:28:34.140283,SBI
T420214,U073,M020,3105.49,Success,2025-07-07 04:45:48.140636,SBI
T204053,U098,M007,31313.2,Success,2025-05-22 00:54:01.140971,HDFC
T792509,U011,M006,12069.27,Success,2025-06-18 22:27:55.141345,HDFC
T178711,U021,M001,20485.03,Success,2025-07-02 06:34:53.141683,SBI
T722656,U061,M010,1728.73,Success,2025-05-24 07:33:47.142021,ICICI
T841296,U037,M023,42994.38,Success,2025-05-03 06:05:28.142355,Axis
T820775,U030,M030,13301.28,Success,2025-07-12 03:58:16.142684,Kotak
T755420,U076,M022,40214.89,Success,2025-05-15 13:10:56.143014,SBI
T545790,U015,M018,11317.99,Success,2025-05-10 19:24:02.143354,HDFC
T378535,U019,M003,3075.94,Success,2025-07-12 07:11:19.143684,HDFC
T422554,U077,M024,41229.59,Success,2025-07-24 18:45:52.144012,ICICI
T402630,U057,M004,23488.03,Success,2025-05-25 20:48:50.144342,Axis
T833723,U052,M009,25073.56,Success,2025-06-13 06:51:23.144693,HDFC
T559023,U011,M020,2089.05,Success,2025-06-07 06:55:48.145033,HDFC
T870214,U042,M020,12593.36,Success,2025-05-05 05:02:14.145414,Kotak
T340044,U087,M027,43039.79,Success,2025-06-22 08:19:33.145759,Kotak
T121753,U098,M022,41088.92,Success,2025-06-21 06:58:59.146095,HDFC
T142185,U098,M025,8842.02,Failed,2025-06-15 17:30:13.146425,HDFC
T783157,U057,M030,13980.01,Success,2025-06-22 04:08:49.146756,Axis
T557058,U082,M027,24637.12,Success,2025-05-05 04:50:25.147097,ICICI
T592841,U045,M014,16732.09,Failed,2025-06-30 09:45:16.147429,Axis
T209680,U021,M011,20641.09,Success,2025-06-13 10:45:24.147759,SBI
T402218,U085,M013,40696.95,Success,2025-06-18 18:02:53.148087,SBI
T138479,U059,M003,15794.41,Success,2025-05-27 17:30:46.148418,HDFC
T221552,U099,M013,43259.04,Success,2025-07-15 10:26:59.148773,Kotak
T101206,U085,M028,27175.42,Success,2025-06-05 11:10:00.149145,SBI
T156837,U025,M017,18152.79,Success,2025-07-08 18:52:14.149503,HDFC
T622707,U081,M015,38023.53,Success,2025-05-16 02:33:19.149841,HDFC
T380028,U071,M005,46390.87,Success,2025-06-07 21:06:53.150185,HDFC
T832168,U063,M004,1540.59,Failed,2025-06-26 12:17:18.150519,Kotak
T738448,U031,M023,8003.07,Success,2025-06-18 19:46:41.150852,ICICI
T114338,U071,M014,4751.14,Success,2025-07-17 00:50:51.151184,HDFC
T218972,U060,M004,32420.71,Failed,2025-05-11 07:00:32.151512,ICICI
T622584,U092,M010,25492.71,Failed,2025-05-22 21:21:23.151843,Kotak
T535673,U062,M016,12262.17,Failed,2025-06-18 20:46:15.152175,HDFC
T251668,U050,M007,46101.22,Success,2025-06-14 16:31:02.152522,Axis
T882544,U018,M028,3583.52,Success,2025-07-10 08:41:37.152869,ICICI
T928381,U054,M011,46718.99,Success,2025-06-14 15:20:41.153254,HDFC
T380150,U001,M010,36329.94,Success,2025-07-16 15:41:26.153599,Axis
T715448,U075,M022,24533.05,Failed,2025-05-10 18:28:57.153935,Axis
T568238,U069,M016,17321.68,Success,2025-06-18 22:17:27.154272,HDFC
T899929,U070,M013,22821.7,Success,2025-05-27 14:01:33.154604,Axis
T297816,U090,M008,28632.7,Success,2025-05-19 00:28:12.154961,ICICI
T997594,U100,M014,2278.0,Success,2025-07-07 15:31:08.155300,Axis
T595951,U091,M030,40589.3,Success,2025-06-02 19:51:32.155632,SBI
T795928,U084,M005,24816.9,Success,2025-04-29 22:29:32.155964,SBI
T232378,U065,M019,16666.54,Success,2025-05-06 02:05:48.156294,ICICI
T986088,U057,M004,26344.96,Success,2025-06-09 16:56:59.156643,Axis
T116093,U093,M005,20557.93,Success,2025-06-28 21:58:52.156976,Axis
T261859,U010,M016,39098.11,Success,2025-05-22 01:46:41.157370,ICICI
T455007,U080,M023,19934.42,Success,2025-05-04 03:22:42.157711,HDFC
T993140,U043,M028,33750.44,Success,2025-06-17 03:39:37.158047,Axis
T498468,U041,M021,35964.0,Success,2025-07-09 01:45:53.158389,HDFC
T611650,U070,M002,30911.23,Success,2025-05-19 03:17:04.158733,Axis
T761820,U088,M030,14440.21,Success,2025-05-18 10:18:42.159098,HDFC
T883041,U012,M014,48919.05,Failed,2025-07-09 04:01:12.159445,ICICI
T764532,U091,M028,5115.31,Success,2025-05-12 11:53:17.159787,SBI
T827712,U039,M029,1544.47,Success,2025-05-27 20:04:40.160591,SBI
T934816,U008,M010,17987.32,Success,2025-06-07 03:48:11.160960,Axis
T252640,U032,M017,20661.38,Success,2025-07-01 12:56:25.161352,Kotak
T931016,U024,M006,8835.96,Success,2025-06-24 12:26:56.161704,ICICI
T501126,U080,M022,12117.41,Success,2025-07-23 23:16:33.162043,HDFC
T711484,U019,M008,23111.38,Success,2025-05-21 00:02:25.162378,HDFC
T581894,U033,M022,568.93,Success,2025-07-13 11:09:40.163786,Axis
T587853,U037,M022,27375.25,Success,2025-05-03 12:20:27.164181,Axis
T563187,U045,M019,15027.8,Success,2025-06-06 12:56:30.164548,Axis
T823846,U033,M015,42280.67,Success,2025-05-15 16:26:22.164895,Axis
T503380,U062,M004,11936.56,Success,2025-06-20 20:54:24.165276,HDFC
T476395,U074,M010,49635.33,Success,2025-05-25 00:10:04.165632,Axis
T123005,U085,M013,13796.57,Success,2025-06-20 06:56:25.165976,SBI
T819112,U100,M024,48682.78,Success,2025-07-23 18:07:17.166314,Axis
T735863,U096,M016,41658.66,Success,2025-07-23 00:13:16.166648,ICICI
T400096,U100,M026,11582.91,Success,2025-07-13 04:52:01.166990,Axis
T469435,U029,M021,9587.59,Success,2025-05-20 16:13:58.167335,Kotak
T810687,U097,M024,38396.79,Success,2025-07-01 10:44:15.167672,ICICI
T979060,U018,M021,4948.48,Success,2025-06-26 06:18:49.168006,ICICI
T777737,U006,M010,39451.66,Success,2025-04-29 13:58:30.168339,Kotak
T707727,U047,M024,6657.45,Success,2025-07-23 15:49:00.168690,Axis
T409445,U042,M024,20833.6,Success,2025-05-15 20:06:57.169111,Kotak
T238579,U070,M029,48577.33,Success,2025-06-16 21:12:21.169467,Axis
T626169,U035,M027,8310.77,Failed,2025-07-24 02:07:07.169806,ICICI
T964749,U062,M026,14827.56,Success,2025-07-19 20:24:07.170141,HDFC
T455168,U015,M015,48148.38,Success,2025-05-10 00:13:04.170491,HDFC
T890785,U029,M028,33848.55,Success,2025-06-30 19:42:38.170826,Kotak
T516716,U072,M012,4606.11,Failed,2025-06-03 15:39:20.171168,HDFC
T114594,U034,M018,6267.08,Failed,2025-06-01 03:05:49.171502,Kotak
T805511,U096,M022,13181.85,Success,2025-06-02 08:05:02.171833,ICICI
T962367,U082,M012,5506.47,Success,2025-05-19 01:04:29.172163,ICICI
T594379,U004,M020,44223.32,Success,2025-06-19 20:24:15.172511,SBI
T443939,U079,M008,32417.85,Success,2025-06-27 00:49:43.172852,Kotak
T963874,U060,M030,35083.75,Success,2025-06-28 09:04:04.173229,ICICI
T528129,U015,M005,2362.81,Success,2025-04-29 22:56:26.173581,HDFC
T419149,U064,M004,4949.88,Failed,2025-07-21 11:41:39.173916,HDFC
T663658,U018,M013,22736.82,Success,2025-06-30 10:34:35.174246,ICICI
T879238,U090,M018,21014.42,Success,2025-07-07 09:50:32.174578,ICICI
T861894,U020,M029,20802.74,Success,2025-05-05 22:58:02.174918,SBI
T974190,U063,M020,20464.98,Failed,2025-05-23 12:04:19.175253,Kotak
T134305,U089,M012,10941.76,Failed,2025-06-08 12:26:48.175584,HDFC
T347582,U047,M004,49048.29,Success,2025-06-01 00:10:57.175924,Axis
T670913,U083,M012,3121.45,Success,2025-05-23 03:04:50.176344,HDFC
T299028,U016,M028,41227.13,Success,2025-05-05 05:50:41.176719,Kotak
T794963,U028,M021,32010.7,Success,2025-04-28 09:59:48.177086,Axis
T153035,U043,M008,49442.16,Success,2025-07-11 18:01:19.177445,Axis
T692002,U027,M003,41507.91,Success,2025-06-19 03:37:40.177781,Kotak
T317220,U076,M007,40671.34,Success,2025-05-18 23:09:23.178113,SBI
T444519,U100,M005,39453.32,Success,2025-06-23 04:58:05.178449,Axis
T102973,U036,M028,49203.0,Success,2025-05-08 23:08:02.178794,ICICI
T666456,U033,M026,8807.41,Success,2025-06-29 12:36:22.179129,Axis
T127032,U017,M001,17976.29,Success,2025-07-11 21:24:32.179462,SBI
T349489,U076,M011,887.48,Success,2025-05-22 02:34:53.179792,SBI
T154944,U017,M024,21105.93,Success,2025-05-07 09:03:08.180129,SBI
T881886,U009,M016,22468.93,Success,2025-05-31 11:50:32.180478,ICICI
T638169,U076,M004,22655.07,Success,2025-05-17 20:28:43.180813,SBI
T744986,U006,M024,39183.03,Success,2025-07-19 12:26:31.181183,Kotak
T790909,U067,M010,22956.32,Success,2025-04-29 08:48:59.181532,Axis
T163780,U062,M028,20140.7,Success,2025-07-01 22:57:11.181871,HDFC
T213206,U063,M023,45494.07,Success,2025-05-03 11:28:33.182204,Kotak
T184714,U042,M020,7501.86,Failed,2025-05-08 14:16:40.182537,Kotak
T388375,U080,M021,29309.7,Success,2025-07-04 11:39:59.182868,HDFC
T440981,U049,M020,26574.79,Success,2025-06-09 09:27:49.183208,SBI
T630108,U078,M014,5049.01,Failed,2025-07-03 11:29:41.183542,HDFC
T219971,U084,M021,43897.54,Success,2025-06-18 20:56:04.183871,SBI
T855855,U028,M014,22632.59,Success,2025-05-18 12:39:32.184201,Axis
T533914,U044,M027,22729.6,Success,2025-06-05 17:33:23.184547,Axis
T865054,U013,M011,21395.52,Success,2025-06-29 22:02:38.184893,Kotak
T367271,U048,M005,34372.37,Success,2025-06-11 09:21:16.185282,ICICI
T170394,U012,M027,4359.68,Success,2025-06-07 06:34:31.185684,ICICI
T201255,U096,M024,18695.08,Success,2025-05-08 23:25:16.186023,ICICI
T683397,U008,M019,47835.57,Failed,2025-06-19 21:02:50.186355,Axis
T445658,U086,M004,20599.35,Success,2025-07-20 03:52:58.186684,Axis
T797660,U097,M014,43417.8,Success,2025-07-05 08:25:24.187014,ICICI
T153945,U037,M020,15691.2,Success,2025-05-06 09:38:13.187428,Axis
T705991,U065,M007,7821.04,Success,2025-06-12 03:48:46.187975,ICICI
T335137,U014,M012,42284.13,Success,2025-06-01 00:42:34.188527,ICICI
T220465,U098,M009,28747.59,Success,2025-07-13 17:11:32.188885,HDFC
T549956,U072,M025,40939.5,Success,2025-06-24 21:57:34.189293,HDFC
T807764,U083,M018,1410.07,Success,2025-06-29 05:05:17.189643,HDFC
T969752,U089,M009,1544.76,Success,2025-05-22 20:59:47.189984,HDFC
T836833,U098,M010,46084.72,Success,2025-05-30 10:10:26.190329,HDFC
T106402,U024,M028,7248.25,Success,2025-06-29 03:57:15.190675,ICICI
T520252,U009,M005,37074.36,Success,2025-04-29 07:39:59.191024,ICICI
T196214,U096,M017,10835.13,Success,2025-06-06 02:30:39.191362,ICICI
T575682,U044,M006,18565.65,Failed,2025-07-05 09:40:14.191696,Axis
T440140,U100,M019,29851.57,Success,2025-07-21 02:34:00.192035,Axis
T155164,U020,M006,37746.35,Success,2025-05-01 04:11:07.192369,SBI
T806707,U011,M009,22211.34,Success,2025-06-06 12:15:22.192723,HDFC
T609253,U078,M015,20767.77,Success,2025-05-17 06:32:32.193087,HDFC
T891615,U066,M004,17324.13,Success,2025-05-07 02:37:19.193448,SBI
T397005,U087,M022,29697.4,Success,2025-06-16 12:04:32.193786,Kotak
T799539,U040,M002,11103.87,Success,2025-06-23 12:45:31.194120,Kotak
T157443,U001,M007,15140.83,Success,2025-05-16 20:26:28.194450,Axis
T904624,U018,M025,12850.42,Success,2025-05-28 04:48:38.194784,ICICI
T225812,U001,M016,37376.0,Success,2025-05-13 09:37:43.195116,Axis
T235461,U049,M018,35213.2,Success,2025-06-13 21:55:33.195449,SBI
